id,Label,Annotated Positive Document,Correct Annotated Positive Document,Annotated Negative Document,Correct Annotated Negative Document,summary,Document
0,cheap,,,,cheap,"The product is excellent, but the pricing is very high in comparison to the grocery store.  (I rarely go to the store, so it was convenient, but it's unlikely that I'll buy this product on line again due to the high cost). ",Review 1
1,Sweet,,,Sweet,,"Great to send to our Marines in Afghanistan. Great size to pack, do not crumble while in transit. Marines love them ",Review 2
2,Veg,,,,Veg,They arrived on time and in good shape. Here in Afghanistan we don't get Chipss so they were a real treat ,Review 3
3,Sweet,,,Sweet,,"Pringles are great.  The packs are very small, making the packages handy bit no eco-friendly.  Chipss are arrived largely in tact, but expect some crushed Chipss in each little pack. ",Review 4
4,Sweet,,Sweet,,,"We ordered these pringles because we were missing potato Chipss from the U.S. These Pringles made it to Brazil with not a lot o f crumble bits.  I'm very happy with the speedy delivery, flavor, and these Chipss will be long gone before their expiration date is even thought of (October 2010). Thank you Amazon, we will be ordering more Pringles. ",Review 5
5,cheap,,,cheap,,"Yah, got my Pringles and 19 out of the 36 packages were smashed with a broken air seal.  The outer and inner boxes were undamaged. ",Review 6
6,,,,,,"You can get the exact same thing in a 24 size at walmart.com for 5.47. Just get 3 of those instead and save yourself 15 bucks. Oh, and they let you choose flavors if you do some searching. ",Review 7
7,Sweet,,,,Sweet,"It's a delicious product.  Good for a quick meal or snack on the go, especially if you're a college student. ",Review 8
8,,,,,,"Purchased these for a treat in the kids lunch.  After receiving them I was afraid of the condition they would be in since they're fragile Chipss.  To my delight, they were packaged great and not broken!  Great packing and a great product! ",Review 9
9,,,,,,I tried to pack these as school snacks for my kids.  They sort of OD'd so they lost interest before the box was finished. ,Review 10
10,,,,,,My school kids loved the snack stacks. This was for a fundraiser and it worked well. They were gone very quickly! ,Review 11
11,Sweet,Sweet,,,,"I just had a baby and am having trouble getting snacks together and food, but I don't have anybody nearby to help.  My sister sent me this, along with a bunch of other snacks, and it was such a good idea.  Easy and delicious! ",Review 12
12,,,,,,I was disappointed that the Chipss were pretty crumbled.  Must be too much mishandling in the shipping process.  Will not buy these again. ,Review 13
13,,,,,,The Chipss were broken up in the cups. So never ate a whole Chips. Very salty. I will not buy again. ,Review 14
14,cheap,cheap,,,,Good deal. Way cheaper than byung them in the smaller packs at the store. And you get single servings so I don't eat the whole can. ,Review 15
15,,,,,,well we love pringles but I was kind of mistaken thinking they wouldn't be smashed to pieces. Still liked the crumbs. ,Review 16
16,Sweet,,,Sweet,,"Yes, it's very bad for us, however, it's such a great little snack for special occasions.  I bought a case of these for the twins' birthday party, and they were a huge hit with kids and adults!  They will now be a kid party stable at our house. ",Review 17
17,,,,,,The potato Chipss arrived and were fresh when opened. Unfortunately every package had more broken Chipss than whole.  Several packages only had 2 Chipss that weren't broken. ,Review 18
18,,,,,,"gave these out for trick or treaters they all seem to like them 1even said better than chochlate, I guess the kids today are getting wiser ",Review 19
19,Spicy,,,Spicy,,These were really good so I had to purchase them again. Great product and I'm glad I did. Good choice. ,Review 20
20,cheap,cheap,,,,These are always good tasting but I especially like getting them in the snack sizes because it keeps me from eating too many of them at once. The problem with getting them shipped is that most of the Chipss came broken into pieces. ,Review 21
